9,16.771
371,65.804
474,30.001
741,18.125
790,62.102
433,58.266
553,70.660
1048,73.395
143,50.170
9,31.624
371,46.512
474,47.756
741,65.621
790,49.854
115,15.138
9,17.334
75,46.793
343,18.129
513,14.306
569,17.342
623,64.998
991,48.369
1118,31.929
1067,28.168
1179,76.660
125,56.482
575,55.263
715,85.848
623,16.398
413,18.463
59,45.742
264,15.620
834,65.806
1082,30.378
1090,33.189
803,26.118
1150,29.274
38,87.624
215,53.617
607,70.143
37,99.080
415,101.816
1073,66.576
59,49.273
264,30.109
834,15.692
834,18.815
123,14.904
97,31.191
477,49.897
568,33.729
639,47.523
414,25.930
1154,38.160
97,47.832
477,13.888
568,32.169
639,48.959
414,28.983
1154,88.427
97,46.182
477,49.404
568,46.947
639,32.162
414,73.906
97,16.908
477,15.920
356,45.801
543,16.265
1094,29.634
10,60.008
356,17.366
543,65.233
1094,32.427
10,60.390
356,31.050
543,31.996
1094,13.737
10,29.352
356,17.378
543,31.115
1094,32.791
10,42.964
595,15.844
1116,18.003
229,49.151
351,31.968
635,14.726
863,14.832
1037,63.903
1042,65.934
1075,64.132
194,30.178
699,60.106
1039,76.632
285,39.847
229,65.804
351,47.375
229,17.556
1081,18.877
4,18.179
48,31.047
389,29.811
805,30.062
814,31.427
80,66.602
4,14.721
48,49.045
389,49.013
805,46.737
814,49.675
80,97.973
4,65.055
48,16.497
389,14.101
191,14.324
965,16.552
112,62.150
228,62.288
522,61.442
816,61.724
911,17.634
1014,13.684
382,57.748
373,99.121
981,68.785
112,65.315
228,46.850
522,17.344
290,17.828
688,15.938
388,30.505
642,65.331
739,30.475
783,15.192
858,15.485
1111,33.973
872,29.962
394,55.733
723,88.743
967,87.955
151,64.508
388,62.498
642,16.974
739,29.686
783,48.857
858,32.784
1111,32.373
388,16.374
739,18.663
87,15.955
181,46.549
254,17.944
1000,33.135
1054,46.384
1124,48.474
60,43.994
518,58.560
545,29.021
170,50.110
800,66.520
87,15.773
181,49.827
1054,16.085
176,14.388
8,62.898
22,34.090
998,63.167
1089,33.889
1146,61.988
1091,60.709
1174,75.638
756,39.033
8,30.147
22,31.945
998,48.477
1089,14.492
1146,48.054
1091,27.577
1174,61.072
756,87.205
8,16.426
725,16.931
50,46.912
103,61.961
436,76.846
50,48.352
103,47.974
436,58.799
50,62.664
103,61.958
436,77.027
50,16.958
103,63.900
436,57.557
50,49.595
103,47.819
436,45.040
50,32.141
103,16.937
436,57.750
590,19.052
700,15.635
